system,dp,n,msid
PDMS,10,1,7.888183116912842
PDMS,10,2,21.479949951171875
PDMS,10,3,46.30693435668945
PDMS,10,4,75.79373931884766
PDMS,10,5,112.25572204589844
PDMS,10,6,151.9930419921875
PDMS,10,7,195.37123107910156
PDMS,10,8,239.8657684326172
PDMS,10,9,285.2106018066406
PDMS,10,10,333.51361083984375
PDMS,10,11,374.7120056152344
PDMS,30,1,7.85393762588501
PDMS,30,2,21.24772834777832
PDMS,30,3,47.016143798828125
PDMS,30,4,77.5513916015625
PDMS,30,5,117.76174926757812
PDMS,30,6,161.76986694335938
PDMS,30,7,213.00833129882812
PDMS,30,8,266.8370056152344
PDMS,30,9,325.8158874511719
PDMS,30,10,386.1876525878906
PDMS,30,11,450.03173828125
PDMS,30,12,514.3184204101562
PDMS,30,13,580.8848266601562
PDMS,30,14,647.1629638671875
PDMS,30,15,714.3720092773438
PDMS,30,16,780.873779296875
PDMS,30,17,847.0510864257812
PDMS,30,18,911.2862548828125
PDMS,30,19,974.5779418945312
PDMS,30,20,1035.3363037109375
PDMS,30,21,1093.4765625
PDMS,30,22,1148.82666015625
PDMS,30,23,1201.0360107421875
PDMS,30,24,1250.92138671875
PDMS,30,25,1298.1318359375
PDMS,30,26,1342.73095703125
PDMS,30,27,1385.1702880859375
PDMS,30,28,1424.71875
PDMS,30,29,1459.65234375
PDMS,30,30,1492.5177001953125
PDMS,30,31,1514.52294921875
PDMS,100,1,7.9594855308532715
PDMS,100,2,21.55555534362793
PDMS,100,3,47.47543716430664
PDMS,100,4,77.83707427978516
PDMS,100,5,118.1544418334961
PDMS,100,6,162.20382690429688
PDMS,100,7,214.0519561767578
PDMS,100,8,268.6234130859375
PDMS,100,9,329.00994873046875
PDMS,100,10,391.2001037597656
PDMS,100,11,457.3897399902344
PDMS,100,12,524.3552856445312
PDMS,100,13,593.8953857421875
PDMS,100,14,663.359130859375
PDMS,100,15,734.12646484375
PDMS,100,16,804.1183471679688
PDMS,100,17,874.4263305664062
PDMS,100,18,943.3385620117188
PDMS,100,19,1011.7115478515625
PDMS,100,20,1078.211669921875
PDMS,100,21,1143.4801025390625
PDMS,100,22,1206.4051513671875
PDMS,100,23,1267.396728515625
PDMS,100,24,1325.6392822265625
PDMS,100,25,1381.5191650390625
PDMS,100,26,1434.41552734375
PDMS,100,27,1484.6790771484375
PDMS,100,28,1532.0987548828125
PDMS,100,29,1576.9171142578125
PDMS,100,30,1618.8463134765625
PDMS,100,31,1658.250244140625
PDMS,100,32,1695.04736328125
PDMS,100,33,1729.5966796875
PDMS,100,34,1761.730712890625
PDMS,100,35,1791.7762451171875
PDMS,100,36,1819.744873046875
PDMS,100,37,1846.0345458984375
PDMS,100,38,1870.2767333984375
PDMS,100,39,1892.7425537109375
PDMS,100,40,1913.572998046875
PDMS,100,41,1933.077880859375
PDMS,100,42,1951.4000244140625
PDMS,100,43,1968.50390625
PDMS,100,44,1984.3714599609375
PDMS,100,45,1998.9859619140625
PDMS,100,46,2012.498779296875
PDMS,100,47,2024.998291015625
PDMS,100,48,2036.538818359375
PDMS,100,49,2047.115234375
PDMS,100,50,2056.805908203125
PDMS,100,51,2065.47607421875
PDMS,100,52,2073.630126953125
PDMS,100,53,2081.26318359375
PDMS,100,54,2088.778076171875
PDMS,100,55,2096.00341796875
PDMS,100,56,2103.064697265625
PDMS,100,57,2109.833984375
PDMS,100,58,2116.368408203125
PDMS,100,59,2122.453369140625
PDMS,100,60,2128.549072265625
PDMS,100,61,2134.62353515625
PDMS,100,62,2140.635986328125
PDMS,100,63,2146.49951171875
PDMS,100,64,2152.32421875
PDMS,100,65,2158.573974609375
PDMS,100,66,2164.907470703125
PDMS,100,67,2171.34521484375
PDMS,100,68,2177.664306640625
PDMS,100,69,2184.132568359375
PDMS,100,70,2190.8955078125
PDMS,100,71,2197.766845703125
PDMS,100,72,2204.86962890625
PDMS,100,73,2212.316162109375
PDMS,100,74,2219.984619140625
PDMS,100,75,2227.6884765625
PDMS,100,76,2236.1142578125
PDMS,100,77,2245.41796875
PDMS,100,78,2256.56787109375
PDMS,100,79,2268.26904296875
PDMS,100,80,2281.742919921875
PDMS,100,81,2295.837890625
PDMS,100,82,2311.066162109375
PDMS,100,83,2326.733642578125
PDMS,100,84,2343.913330078125
PDMS,100,85,2361.23193359375
PDMS,100,86,2380.619873046875
PDMS,100,87,2400.626708984375
PDMS,100,88,2422.550048828125
PDMS,100,89,2444.62939453125
PDMS,100,90,2469.46484375
PDMS,100,91,2493.712158203125
PDMS,100,92,2521.40673828125
PDMS,100,93,2548.24169921875
PDMS,100,94,2577.5732421875
PDMS,100,95,2604.69580078125
PDMS,100,96,2634.52880859375
PDMS,100,97,2660.10693359375
PDMS,100,98,2689.886962890625
PDMS,100,99,2710.983642578125
PDMS,100,100,2744.895751953125
PDMS,100,101,2759.61767578125
PMTFPS,10,1,7.9335246086120605
PMTFPS,10,2,21.841522216796875
PMTFPS,10,3,46.92445755004883
PMTFPS,10,4,76.98551940917969
PMTFPS,10,5,114.00563049316406
PMTFPS,10,6,154.42361450195312
PMTFPS,10,7,198.7505645751953
PMTFPS,10,8,245.82611083984375
PMTFPS,10,9,294.74029541015625
PMTFPS,10,10,346.45953369140625
PMTFPS,10,11,401.09381103515625
PMTFPS,30,1,7.924046039581299
PMTFPS,30,2,21.560054779052734
PMTFPS,30,3,47.3001594543457
PMTFPS,30,4,78.10262298583984
PMTFPS,30,5,117.63858032226562
PMTFPS,30,6,161.08177185058594
PMTFPS,30,7,210.43649291992188
PMTFPS,30,8,262.4601135253906
PMTFPS,30,9,318.2313537597656
PMTFPS,30,10,375.4805603027344
PMTFPS,30,11,434.6878356933594
PMTFPS,30,12,494.1545104980469
PMTFPS,30,13,553.8765869140625
PMTFPS,30,14,613.2018432617188
PMTFPS,30,15,671.68408203125
PMTFPS,30,16,729.181396484375
PMTFPS,30,17,785.3966674804688
PMTFPS,30,18,840.1361694335938
PMTFPS,30,19,893.4096069335938
PMTFPS,30,20,944.9849243164062
PMTFPS,30,21,995.0889892578125
PMTFPS,30,22,1043.7454833984375
PMTFPS,30,23,1090.54296875
PMTFPS,30,24,1134.479736328125
PMTFPS,30,25,1176.807373046875
PMTFPS,30,26,1217.4012451171875
PMTFPS,30,27,1257.1207275390625
PMTFPS,30,28,1296.40771484375
PMTFPS,30,29,1333.3477783203125
PMTFPS,30,30,1375.815185546875
PMTFPS,30,31,1404.98095703125
PMTFPS,100,1,7.96472692489624
PMTFPS,100,2,21.534503936767578
PMTFPS,100,3,47.4163703918457
PMTFPS,100,4,78.3281478881836
PMTFPS,100,5,118.52076721191406
PMTFPS,100,6,162.85153198242188
PMTFPS,100,7,213.8434295654297
PMTFPS,100,8,267.8898010253906
PMTFPS,100,9,326.4922790527344
PMTFPS,100,10,387.1326599121094
PMTFPS,100,11,450.67755126953125
PMTFPS,100,12,515.2496948242188
PMTFPS,100,13,581.2422485351562
PMTFPS,100,14,647.4425659179688
PMTFPS,100,15,713.9319458007812
PMTFPS,100,16,779.8470458984375
PMTFPS,100,17,845.078369140625
PMTFPS,100,18,909.1627807617188
PMTFPS,100,19,972.0484008789062
PMTFPS,100,20,1033.2109375
PMTFPS,100,21,1092.59228515625
PMTFPS,100,22,1149.8583984375
PMTFPS,100,23,1204.8843994140625
PMTFPS,100,24,1257.6055908203125
PMTFPS,100,25,1308.0616455078125
PMTFPS,100,26,1355.998046875
PMTFPS,100,27,1401.588623046875
PMTFPS,100,28,1444.59033203125
PMTFPS,100,29,1485.2738037109375
PMTFPS,100,30,1523.4105224609375
PMTFPS,100,31,1559.3336181640625
PMTFPS,100,32,1592.9515380859375
PMTFPS,100,33,1624.4066162109375
PMTFPS,100,34,1653.8018798828125
PMTFPS,100,35,1681.1165771484375
PMTFPS,100,36,1706.449951171875
PMTFPS,100,37,1730.1015625
PMTFPS,100,38,1752.368896484375
PMTFPS,100,39,1773.372314453125
PMTFPS,100,40,1793.108642578125
PMTFPS,100,41,1811.5087890625
PMTFPS,100,42,1828.976318359375
PMTFPS,100,43,1845.29736328125
PMTFPS,100,44,1861.206298828125
PMTFPS,100,45,1876.0943603515625
PMTFPS,100,46,1890.6649169921875
PMTFPS,100,47,1904.7220458984375
PMTFPS,100,48,1918.6748046875
PMTFPS,100,49,1932.4765625
PMTFPS,100,50,1946.595947265625
PMTFPS,100,51,1960.8145751953125
PMTFPS,100,52,1975.35693359375
PMTFPS,100,53,1990.481689453125
PMTFPS,100,54,2005.859375
PMTFPS,100,55,2021.6832275390625
PMTFPS,100,56,2038.2459716796875
PMTFPS,100,57,2055.552490234375
PMTFPS,100,58,2073.5107421875
PMTFPS,100,59,2092.318115234375
PMTFPS,100,60,2111.802978515625
PMTFPS,100,61,2132.235595703125
PMTFPS,100,62,2153.3583984375
PMTFPS,100,63,2175.186767578125
PMTFPS,100,64,2197.62060546875
PMTFPS,100,65,2220.810546875
PMTFPS,100,66,2244.6298828125
PMTFPS,100,67,2269.860107421875
PMTFPS,100,68,2295.771728515625
PMTFPS,100,69,2323.42822265625
PMTFPS,100,70,2351.956298828125
PMTFPS,100,71,2381.942138671875
PMTFPS,100,72,2413.687255859375
PMTFPS,100,73,2447.09765625
PMTFPS,100,74,2482.470458984375
PMTFPS,100,75,2518.960205078125
PMTFPS,100,76,2557.322265625
PMTFPS,100,77,2596.953125
PMTFPS,100,78,2638.657470703125
PMTFPS,100,79,2681.2705078125
PMTFPS,100,80,2725.77587890625
PMTFPS,100,81,2771.634765625
PMTFPS,100,82,2819.30224609375
PMTFPS,100,83,2868.764892578125
PMTFPS,100,84,2919.5517578125
PMTFPS,100,85,2972.859375
PMTFPS,100,86,3026.512451171875
PMTFPS,100,87,3082.212158203125
PMTFPS,100,88,3136.934326171875
PMTFPS,100,89,3192.0693359375
PMTFPS,100,90,3245.420654296875
PMTFPS,100,91,3298.157470703125
PMTFPS,100,92,3349.120361328125
PMTFPS,100,93,3398.396728515625
PMTFPS,100,94,3445.291748046875
PMTFPS,100,95,3489.83740234375
PMTFPS,100,96,3533.46630859375
PMTFPS,100,97,3576.9716796875
PMTFPS,100,98,3622.753173828125
PMTFPS,100,99,3666.6943359375
PMTFPS,100,100,3715.056640625
PMTFPS,100,101,3745.259521484375
