system,dp,r,g_r
PDMS,10,0.2527558207511902,0.0
PDMS,10,0.7582674622535706,0.0
PDMS,10,1.263779103755951,0.0
PDMS,10,1.7692907452583313,0.0
PDMS,10,2.2748023867607117,0.0
PDMS,10,2.780314028263092,0.0
PDMS,10,3.2858256697654724,0.0
PDMS,10,3.791337311267853,0.0
PDMS,10,4.296848952770233,0.0
PDMS,10,4.8023605942726135,0.0
PDMS,10,5.307872235774994,0.0
PDMS,10,5.813383877277374,0.0
PDMS,10,6.318895518779755,0.0
PDMS,10,6.824407160282135,0.0
PDMS,10,7.329918801784515,0.0
PDMS,10,7.835430443286896,0.0
PDMS,10,8.340942084789276,0.0
PDMS,10,8.846453726291656,0.0
PDMS,10,9.351965367794037,0.0
PDMS,10,9.857477009296417,0.0
PDMS,10,10.362988650798798,0.0
PDMS,10,10.868500292301178,0.0
PDMS,10,11.374011933803558,0.0
PDMS,10,11.879523575305939,0.0
PDMS,10,12.385035216808319,0.0
PDMS,10,12.8905468583107,12.406649867252241
PDMS,10,13.39605849981308,0.0
PDMS,10,13.90157014131546,0.0
PDMS,10,14.40708178281784,0.0
PDMS,10,14.912593424320221,0.0
PDMS,10,15.418105065822601,0.0
PDMS,10,15.923616707324982,0.0
PDMS,10,16.429128348827362,0.0
PDMS,10,16.934639990329742,0.0
PDMS,10,17.440151631832123,0.0
PDMS,10,17.945663273334503,0.0
PDMS,10,18.451174914836884,12.129024008304967
PDMS,10,18.956686556339264,0.0
PDMS,10,19.462198197841644,0.0
PDMS,10,19.967709839344025,0.0
PDMS,10,20.473221480846405,0.0
PDMS,10,20.978733122348785,0.0
PDMS,10,21.484244763851166,0.0
PDMS,10,21.989756405353546,0.0
PDMS,10,22.495268046855927,5.432390482187984
PDMS,10,23.000779688358307,0.0
PDMS,10,23.506291329860687,0.0
PDMS,10,24.011802971363068,0.0
PDMS,10,24.517314612865448,0.0
PDMS,10,25.02282625436783,0.0
PDMS,10,25.52833789587021,0.0
PDMS,10,26.03384953737259,3.04202260789357
PDMS,10,26.53936117887497,0.0
PDMS,10,27.04487282037735,0.0
PDMS,10,27.55038446187973,0.0
PDMS,10,28.05589610338211,0.0
PDMS,10,28.56140774488449,0.0
PDMS,10,29.06691938638687,9.78902513164062
PDMS,10,29.57243102788925,0.0
PDMS,10,30.077942669391632,0.0
PDMS,10,30.583454310894012,0.0
PDMS,10,31.088965952396393,0.0
PDMS,10,31.594477593898773,8.261924700404178
PDMS,10,32.099989235401154,0.0
PDMS,30,0.25090080758799677,0.0
PDMS,30,0.7527024227639902,0.0
PDMS,30,1.2545040379399839,0.0
PDMS,30,1.7563056531159773,0.0
PDMS,30,2.2581072682919707,0.0
PDMS,30,2.7599088834679644,0.0
PDMS,30,3.261710498643958,0.0
PDMS,30,3.763512113819951,0.0
PDMS,30,4.265313728995945,0.0
PDMS,30,4.7671153441719385,0.0
PDMS,30,5.268916959347932,0.0
PDMS,30,5.770718574523926,0.0
PDMS,30,6.272520189699919,0.0
PDMS,30,6.774321804875912,0.0
PDMS,30,7.276123420051906,0.0
PDMS,30,7.7779250352279,0.0
PDMS,30,8.279726650403894,0.0
PDMS,30,8.781528265579887,0.0
PDMS,30,9.283329880755879,0.0
PDMS,30,9.785131495931875,0.0
PDMS,30,10.286933111107867,0.0
PDMS,30,10.78873472628386,0.0
PDMS,30,11.290536341459855,0.0
PDMS,30,11.792337956635848,0.0
PDMS,30,12.29413957181184,0.0
PDMS,30,12.795941186987836,0.0
PDMS,30,13.297742802163828,0.0
PDMS,30,13.799544417339822,0.0
PDMS,30,14.301346032515816,0.0
PDMS,30,14.803147647691809,0.0
PDMS,30,15.304949262867803,0.0
PDMS,30,15.806750878043797,0.0
PDMS,30,16.30855249321979,0.0
PDMS,30,16.810354108395785,0.0
PDMS,30,17.312155723571777,0.0
PDMS,30,17.81395733874777,0.0
PDMS,30,18.315758953923762,17.988759155542606
PDMS,30,18.817560569099758,0.0
PDMS,30,19.31936218427575,0.0
PDMS,30,19.821163799451746,0.0
PDMS,30,20.32296541462774,0.0
PDMS,30,20.82476702980373,0.0
PDMS,30,21.326568644979723,0.0
PDMS,30,21.82837026015572,0.0
PDMS,30,22.33017187533171,0.0
PDMS,30,22.831973490507707,0.0
PDMS,30,23.3337751056837,0.0
PDMS,30,23.83557672085969,0.0
PDMS,30,24.337378336035684,0.0
PDMS,30,24.83917995121168,0.0
PDMS,30,25.340981566387676,0.0
PDMS,30,25.842783181563668,0.0
PDMS,30,26.34458479673966,17.415284441125536
PDMS,30,26.846386411915653,0.0
PDMS,30,27.34818802709165,0.0
PDMS,30,27.84998964226764,0.0
PDMS,30,28.351791257443637,0.0
PDMS,30,28.85359287261963,0.0
PDMS,30,29.35539448779562,0.0
PDMS,30,29.857196102971614,0.0
PDMS,30,30.35899771814761,0.0
PDMS,30,30.8607993333236,0.0
PDMS,30,31.362600948499598,0.0
PDMS,30,31.86440256367559,7.924947821190306
PDMS,30,32.36620417885158,0.0
PDMS,30,32.868005794027574,0.0
PDMS,30,33.369807409203574,0.0
PDMS,30,33.871609024379566,0.0
PDMS,30,34.37341063955556,0.0
PDMS,30,34.87521225473155,0.0
PDMS,30,35.37701386990754,0.0
PDMS,30,35.878815485083535,0.0
PDMS,30,36.38061710025953,0.0
PDMS,30,36.88241871543553,4.436420703690036
PDMS,30,37.38422033061152,0.0
PDMS,30,37.88602194578751,0.0
PDMS,30,38.387823560963504,0.0
PDMS,30,38.889625176139496,0.0
PDMS,30,39.391426791315496,0.0
PDMS,30,39.89322840649149,0.0
PDMS,30,40.39503002166748,0.0
PDMS,30,40.89683163684347,0.0
PDMS,30,41.398633252019465,14.12525916038249
PDMS,30,41.90043486719546,0.0
PDMS,30,42.40223648237145,0.0
PDMS,30,42.90403809754745,0.0
PDMS,30,43.40583971272344,0.0
PDMS,30,43.907641327899434,0.0
PDMS,30,44.409442943075426,0.0
PDMS,30,44.91124455825142,0.0
PDMS,30,45.41304617342742,11.705029562444077
PDMS,30,45.91484778860341,0.0
PDMS,100,0.2507295538909244,0.0
PDMS,100,0.7521886616727731,0.0
PDMS,100,1.2536477694546218,0.0
PDMS,100,1.7551068772364706,0.0
PDMS,100,2.2565659850183195,0.0
PDMS,100,2.7580250928001684,0.0
PDMS,100,3.259484200582017,0.0
PDMS,100,3.7609433083638657,0.0
PDMS,100,4.262402416145715,0.0
PDMS,100,4.763861523927563,0.0
PDMS,100,5.265320631709413,0.0
PDMS,100,5.766779739491261,0.0
PDMS,100,6.268238847273109,0.0
PDMS,100,6.7696979550549585,0.0
PDMS,100,7.2711570628368065,0.0
PDMS,100,7.772616170618656,0.0
PDMS,100,8.274075278400504,0.0
PDMS,100,8.775534386182354,0.0
PDMS,100,9.276993493964202,0.0
PDMS,100,9.77845260174605,0.0
PDMS,100,10.2799117095279,0.0
PDMS,100,10.78137081730975,0.0
PDMS,100,11.282829925091598,0.0
PDMS,100,11.784289032873446,0.0
PDMS,100,12.285748140655294,0.0
PDMS,100,12.787207248437143,0.0
PDMS,100,13.288666356218993,0.0
PDMS,100,13.790125464000841,0.0
PDMS,100,14.291584571782689,0.0
PDMS,100,14.793043679564539,0.0
PDMS,100,15.294502787346389,0.0
PDMS,100,15.795961895128237,0.0
PDMS,100,16.297421002910085,0.0
PDMS,100,16.798880110691933,0.0
PDMS,100,17.30033921847378,0.0
PDMS,100,17.801798326255632,0.0
PDMS,100,18.30325743403748,0.0
PDMS,100,18.804716541819328,0.0
PDMS,100,19.30617564960118,0.0
PDMS,100,19.807634757383028,0.0
PDMS,100,20.309093865164876,0.0
PDMS,100,20.810552972946724,0.0
PDMS,100,21.31201208072857,0.0
PDMS,100,21.81347118851042,0.0
PDMS,100,22.31493029629227,0.0
PDMS,100,22.81638940407412,0.0
PDMS,100,23.317848511855967,0.0
PDMS,100,23.819307619637815,0.0
PDMS,100,24.320766727419667,0.0
PDMS,100,24.822225835201515,0.0
PDMS,100,25.323684942983363,0.0
PDMS,100,25.82514405076521,0.0
PDMS,100,26.32660315854706,0.0
PDMS,100,26.82806226632891,0.0
PDMS,100,27.329521374110758,26.644472784560193
PDMS,100,27.830980481892606,0.0
PDMS,100,28.332439589674454,0.0
PDMS,100,28.833898697456306,0.0
PDMS,100,29.335357805238154,0.0
PDMS,100,29.83681691302,0.0
PDMS,100,30.33827602080185,0.0
PDMS,100,30.839735128583698,0.0
PDMS,100,31.34119423636555,0.0
PDMS,100,31.842653344147397,0.0
PDMS,100,32.34411245192925,0.0
PDMS,100,32.84557155971109,0.0
PDMS,100,33.347030667492945,0.0
PDMS,100,33.848489775274786,0.0
PDMS,100,34.34994888305664,0.0
PDMS,100,34.851407990838496,0.0
PDMS,100,35.35286709862034,0.0
PDMS,100,35.85432620640219,0.0
PDMS,100,36.35578531418403,0.0
PDMS,100,36.85724442196589,0.0
PDMS,100,37.35870352974773,0.0
PDMS,100,37.860162637529584,0.0
PDMS,100,38.361621745311425,0.0
PDMS,100,38.86308085309328,26.39071144738139
PDMS,100,39.364539960875135,0.0
PDMS,100,39.865999068656976,0.0
PDMS,100,40.36745817643883,0.0
PDMS,100,40.86891728422067,0.0
PDMS,100,41.37037639200253,0.0
PDMS,100,41.87183549978437,0.0
PDMS,100,42.37329460756622,0.0
PDMS,100,42.874753715348064,0.0
PDMS,100,43.37621282312992,0.0
PDMS,100,43.877671930911774,0.0
PDMS,100,44.379131038693615,0.0
PDMS,100,44.88059014647547,0.0
PDMS,100,45.38204925425731,0.0
PDMS,100,45.883508362039166,0.0
PDMS,100,46.38496746982101,0.0
PDMS,100,46.88642657760286,0.0
PDMS,100,47.3878856853847,11.816351112100651
PDMS,100,47.88934479316656,0.0
PDMS,100,48.390803900948406,0.0
PDMS,100,48.892263008730254,0.0
PDMS,100,49.39372211651211,0.0
PDMS,100,49.89518122429395,0.0
PDMS,100,50.396640332075805,0.0
PDMS,100,50.898099439857646,0.0
PDMS,100,51.3995585476395,0.0
PDMS,100,51.90101765542134,0.0
PDMS,100,52.4024767632032,0.0
PDMS,100,52.903935870985045,0.0
PDMS,100,53.40539497876689,0.0
PDMS,100,53.90685408654875,0.0
PDMS,100,54.40831319433059,0.0
PDMS,100,54.909772302112444,6.600564259631804
PDMS,100,55.411231409894285,0.0
PDMS,100,55.91269051767614,0.0
PDMS,100,56.41414962545798,0.0
PDMS,100,56.915608733239836,0.0
PDMS,100,57.417067841021684,0.0
PDMS,100,57.91852694880353,0.0
PDMS,100,58.41998605658539,0.0
PDMS,100,58.92144516436723,0.0
PDMS,100,59.42290427214908,0.0
PDMS,100,59.924363379930924,0.0
PDMS,100,60.42582248771278,0.0
PDMS,100,60.92728159549462,0.0
PDMS,100,61.428740703276475,21.155985924801236
PDMS,100,61.93019981105832,0.0
PDMS,100,62.43165891884017,0.0
PDMS,100,62.933118026622026,0.0
PDMS,100,63.43457713440387,0.0
PDMS,100,63.93603624218572,0.0
PDMS,100,64.43749534996758,0.0
PDMS,100,64.93895445774942,0.0
PDMS,100,65.44041356553126,0.0
PDMS,100,65.94187267331311,0.0
PDMS,100,66.44333178109497,0.0
PDMS,100,66.94479088887681,0.0
PDMS,100,67.44624999665865,17.499504116984205
PDMS,100,67.9477091044405,0.0
PDMS,100,68.44916821222236,0.0
PMTFPS,10,0.2508279986497832,0.0
PMTFPS,10,0.7524839959493497,0.0
PMTFPS,10,1.2541399932489161,0.0
PMTFPS,10,1.7557959905484826,0.0
PMTFPS,10,2.2574519878480492,0.0
PMTFPS,10,2.7591079851476152,0.0
PMTFPS,10,3.260763982447182,0.0
PMTFPS,10,3.762419979746748,0.0
PMTFPS,10,4.264075977046315,0.0
PMTFPS,10,4.765731974345881,0.0
PMTFPS,10,5.267387971645448,0.0
PMTFPS,10,5.769043968945014,0.0
PMTFPS,10,6.270699966244581,0.0
PMTFPS,10,6.772355963544147,0.0
PMTFPS,10,7.274011960843714,0.0
PMTFPS,10,7.77566795814328,0.0
PMTFPS,10,8.277323955442846,0.0
PMTFPS,10,8.778979952742414,0.0
PMTFPS,10,9.28063595004198,0.0
PMTFPS,10,9.782291947341545,0.0
PMTFPS,10,10.283947944641113,0.0
PMTFPS,10,10.785603941940678,0.0
PMTFPS,10,11.287259939240244,0.0
PMTFPS,10,11.788915936539812,0.0
PMTFPS,10,12.290571933839377,0.0
