system,dp,sample_idx,ree
PDMS,10,0,15.253304481506348
PDMS,10,1,13.385536193847656
PDMS,10,2,22.183578491210938
PDMS,10,3,22.51392936706543
PDMS,10,4,24.131013870239258
PDMS,10,5,13.716205596923828
PDMS,10,6,18.243955612182617
PDMS,10,7,23.286312103271484
PDMS,10,8,25.10349464416504
PDMS,10,9,21.095083236694336
PDMS,10,10,21.33220100402832
PDMS,10,11,14.710293769836426
PDMS,10,12,20.629398345947266
PDMS,10,13,20.373743057250977
PDMS,10,14,24.026226043701172
PDMS,10,15,10.934103012084961
PDMS,10,16,18.767606735229492
PDMS,10,17,14.013171195983887
PDMS,10,18,17.957687377929688
PDMS,10,19,15.40194320678711
PDMS,10,20,16.756742477416992
PDMS,10,21,22.22945785522461
PDMS,10,22,15.308767318725586
PDMS,10,23,19.962705612182617
PDMS,10,24,11.350470542907715
PDMS,10,25,19.765687942504883
PDMS,10,26,21.49655532836914
PDMS,10,27,23.25804328918457
PDMS,10,28,6.673530101776123
PDMS,10,29,22.562538146972656
PDMS,10,30,18.67308807373047
PDMS,10,31,17.18675422668457
PDMS,10,32,25.238943099975586
PDMS,10,33,17.615896224975586
PDMS,10,34,21.880760192871094
PDMS,10,35,11.797135353088379
PDMS,10,36,18.393901824951172
PDMS,10,37,19.959779739379883
PDMS,10,38,21.713777542114258
PDMS,10,39,22.08702278137207
PDMS,10,40,20.982059478759766
PDMS,10,41,22.895587921142578
PDMS,10,42,22.57555389404297
PDMS,10,43,20.195363998413086
PDMS,10,44,14.429251670837402
PDMS,10,45,22.857667922973633
PDMS,10,46,23.79522705078125
PDMS,10,47,20.139068603515625
PDMS,10,48,25.268461227416992
PDMS,10,49,23.689149856567383
PDMS,10,50,22.771018981933594
PDMS,10,51,23.41786003112793
PDMS,10,52,22.88341522216797
PDMS,10,53,18.100568771362305
PDMS,10,54,25.146982192993164
PDMS,10,55,22.74439811706543
PDMS,10,56,17.781126022338867
PDMS,10,57,20.37281036376953
PDMS,10,58,13.27769947052002
PDMS,10,59,19.0001220703125
PDMS,10,60,12.776581764221191
PDMS,10,61,21.774200439453125
PDMS,10,62,17.049427032470703
PDMS,10,63,19.58993148803711
PDMS,10,64,16.898466110229492
PDMS,10,65,21.805526733398438
PDMS,10,66,19.37824058532715
PDMS,10,67,23.5814151763916
PDMS,10,68,16.55785369873047
PDMS,10,69,21.69708251953125
PDMS,10,70,19.535558700561523
PDMS,10,71,9.386699676513672
PDMS,10,72,22.458383560180664
