folder_name,graph_file,cnt_d0,cnt_d1,cnt_d2,cnt_d3,cnt_d4,cnt_d5,cnt_d6,uts_mean,uts_std,strain_break_mean,strain_break_std,toughness_mean,toughness_std,num_directions,total_nodes,lambda_2,assortativity,avg_path_len,max_betweenness,deg_mean,deg_std,deg_skew,deg_entropy,graph_energy,avg_eigenvector_cent,frac_loops,frac_dangling,fraction_active_nodes,lambda_2_core,avg_path_core,core_density,cyclomatic_idx,cyclomatic_norm,num_bridges,num_articulations,max_k_core,mean_k_core
10_0_26_75_43_53_9,data/mechanics/10_0_26_75_43_53_9/network_N6x6x6_trial6.gpickle,10,0,26,75,43,53,9,4.1911499999999995,0.022388622110349057,12.105466666666667,0.7539709690845011,16.1828716089,1.7609786925278903,3,216,0.28901925045621923,-0.09272930904436419,5.122519535874971,0.05131358197258092,3.5555555555555554,1.3356461422412567,-0.5153977983775747,1.56287068998586,333.28472641496757,0.057529166214002773,0.0,0.0,0.9537037037037037,0.28901925045621923,5.122519535874971,0.018186123608808905,179,0.8689320388349514,0,0,3,2.529126213592233
10_13_50_46_13_69_15,data/mechanics/10_13_50_46_13_69_15/network_N6x6x6_trial354781.gpickle,10,13,50,46,13,69,15,3.896183333333333,0.4815038306758893,12.6138,0.412815535883361,15.479449367708336,0.7322139195338898,3,216,0.13556105454810344,-0.0629023321001947,5.348804167653327,0.055171532391370015,3.4166666666666665,1.636533146850604,-0.20359458240652425,1.6983928032045812,320.1924494204164,0.05727310402879744,0.0,0.06018518518518518,0.8657407407407407,0.28116676753481884,5.0679086884020474,0.02012535219366339,164,0.7961165048543689,19,18,3,2.296116504854369
10_14_31_40_49_48_24,data/mechanics/10_14_31_40_49_48_24/network_N6x6x6_trial0.gpickle,10,14,31,40,49,48,24,3.803873333333333,0.13946336922488134,11.530466666666667,0.6737127643802584,15.299597907308334,1.3599427149753796,3,216,0.21092410444948673,-0.07571221591739619,5.15609756097561,0.0579341292514765,3.5925925925925926,1.6074884772182894,-0.41150885080867783,1.8254100275568446,327.9387180292803,0.058926386585855146,0.0,0.06481481481481481,0.8842592592592593,0.288335669623183,4.9851749793331495,0.020556627170019288,183,0.8883495145631068,15,15,3,2.5728155339805827
10_14_38_49_33_37_35,data/mechanics/10_14_38_49_33_37_35/network_N6x6x6_trial1.gpickle,10,14,38,49,33,37,35,3.6384133333333337,0.24065869959111996,12.188699999999999,0.9089829481348924,14.995281469408333,1.802960057311619,3,216,0.25652527514592416,-0.15966980641673453,5.171536822164338,0.05671743377828689,3.537037037037037,1.691076393602201,-0.16719066484946413,1.8459912934714935,323.9171332346672,0.057463899778956114,0.0,0.06481481481481481,0.8842592592592593,0.30650335009167806,5.029043813722788,0.020225957564067237,177,0.8592233009708737,15,15,3,2.558252427184466
10_15_23_72_21_73_2,data/mechanics/10_15_23_72_21_73_2/network_N6x6x6_trial11527.gpickle,10,15,23,72,21,73,2,3.64652,0.17010926743321977,12.463733333333332,1.0824755588721418,15.2792043325,0.673516118736907,3,216,0.1891683997566787,-0.04201464068460513,5.303812455600284,0.06029826626062458,3.4166666666666665,1.4695993407123669,-0.5145367818145337,1.5687611102807189,323.4057781333156,0.05710990314449672,0.0,0.06944444444444445,0.8796296296296297,0.2913488158176328,5.110219994430521,0.019660261765524923,164,0.7961165048543689,16,15,3,2.0
10_15_33_29_78_22_29,data/mechanics/10_15_33_29_78_22_29/network_N6x6x6_trial2.gpickle,10,15,33,29,78,22,29,3.7033,0.3771431577000966,12.363733333333334,1.546093464905088,14.526777096574998,2.720655521892662,3,216,0.26050829942808545,-0.1619502618352482,5.169737153682217,0.05619896825831748,3.537037037037037,1.592377246422641,-0.34611778263346255,1.7541638981019703,325.90769302992487,0.05707209841150238,0.0,0.06944444444444445,0.8842592592592593,0.3160489552823108,5.002590245246624,0.020225957564067237,177,0.8592233009708737,15,15,3,2.5097087378640777
10_16_39_60_18_32_41,data/mechanics/10_16_39_60_18_32_41/network_N6x6x6_trial250.gpickle,10,16,39,60,18,32,41,2.8634966666666664,0.7944033593556584,12.772133333333334,2.9997453595634114,13.809292466125,7.719322011422021,3,216,0.1424126921414965,-0.015144434199391028,5.41723892967085,0.07272235799678362,3.4814814814814814,1.745265985679024,-0.026516033735551597,1.8053082980325073,320.44394963321645,0.049808014304748814,0.0,0.07407407407407407,0.8657407407407407,0.20538615928572324,5.144270024725433,0.020527859237536656,171,0.8300970873786407,19,17,3,2.3300970873786406
10_16_39_63_27_21_40,data/mechanics/10_16_39_63_27_21_40/network_N6x6x6_trial0.gpickle,10,16,39,63,27,21,40,3.693103333333333,0.7227015551080235,13.6137,3.5693136595149495,19.381944295458336,9.986894989427803,3,216,0.20643943765824757,-0.16994080360417002,5.307269713473834,0.05885592492773223,3.4074074074074074,1.7053132493661243,0.05195819392060329,1.8023089299695079,317.21647549692176,0.050285681650301485,0.0,0.07407407407407407,0.875,0.2689365905498702,5.122030845435101,0.019756838905775075,163,0.7912621359223301,17,17,3,2.3106796116504853
10_17_39_36_48_31_35,data/mechanics/10_17_39_36_48_31_35/network_N6x6x6_trial2.gpickle,10,17,39,36,48,31,35,3.3996066666666667,0.60183570882943,11.588766666666666,0.9089481112191661,13.3254478081,3.0971070381826227,3,216,0.19429178778808123,-0.12504448081987116,5.271134264740706,0.0681875890699718,3.5185185185185186,1.7022941028565035,-0.19500054607694878,1.8577575846419423,321.272574399011,0.055171304861192136,0.0,0.0787037037037037,0.8703703703703703,0.28570751013980317,5.0949482307429745,0.020593924223461145,175,0.8495145631067961,18,16,3,2.4611650485436893
10_18_20_64_29_56_19,data/mechanics/10_18_20_64_29_56_19/network_N6x6x6_trial0.gpickle,10,18,20,64,29,56,19,4.014656666666666,0.09575701413241511,14.897066666666666,2.163214429706146,25.462791030333335,7.947651569034292,3,216,0.1987432935636713,-0.0261802032117756,5.241060857210514,0.05498643280289321,3.5185185185185186,1.5927002547588531,-0.37406728918306725,1.7634667422531063,326.1597701942027,0.05689245826323376,0.0,0.08333333333333333,0.8611111111111112,0.28229414547390824,4.985236849752979,0.020924149956408022,175,0.8495145631067961,20,20,3,2.5194174757281553
