graph_id,seed,n_nodes,n_edges,avg_degree,min_degree,max_degree,n_chain_ends,n_interior
graph_000,42,125,160,2.56,0,4,25,87
graph_001,43,125,166,2.656,0,4,25,87
graph_005,47,125,157,2.512,0,4,25,87
graph_008,50,125,163,2.608,0,4,25,87
graph_009,51,125,159,2.544,0,4,25,87
graph_010,52,125,163,2.608,0,4,25,87
graph_011,53,125,159,2.544,0,4,25,87
graph_012,54,125,161,2.576,0,4,25,87
graph_016,58,125,162,2.592,0,4,25,87
graph_017,59,125,159,2.544,0,4,25,87
graph_018,60,125,162,2.592,0,4,25,87
graph_024,66,125,161,2.576,0,4,25,87
